, condo , etc ,total, condo_lessthan15 , ect_lessthan15 , total_lessthan15 ,latitude,longitude
นวลจันทร์," 62,760 "," 124,705 "," 187,465 "," 14,097 "," 9,298 "," 23,395 ",13.82696273,100.6474576
สามเสน," 126,622 "," 130,260 "," 256,882 "," 29,374 "," 11,022 "," 40,396 ",13.7852684,100.5466435
นนทบุรี," 146,917 "," 204,293 "," 351,210 "," 40,825 "," 16,609 "," 57,434 ",13.92335328,100.3946742
ธนบุรี," 54,081 "," 144,890 "," 198,971 "," 15,410 "," 12,052 "," 27,462 ",13.70762197,100.4865016
บางใหญ่," 44,205 "," 190,141 "," 234,346 "," 12,120 "," 16,646 "," 28,766 ",13.84489615,100.3612189
ลาดกระบัง," 36,696 "," 125,480 "," 162,176 "," 7,901 "," 10,087 "," 17,988 ",13.75054411,100.7943875
บางนา," 101,243 "," 143,497 "," 244,740 "," 26,660 "," 10,705 "," 37,365 ",13.66404705,100.6132156
วัดเลียบ," 14,310 "," 60,622 "," 74,932 "," 3,396 "," 6,667 "," 10,063 ",13.74246725,100.499102
คลองเตย," 80,103 "," 57,783 "," 137,886 "," 21,595 "," 4,772 "," 26,367 ",13.71889724,100.567167
ราษฎร์บูรณะ," 44,188 "," 211,103 "," 255,291 "," 8,129 "," 17,054 "," 25,183 ",13.67153036,100.5085874
ยานนาวา," 63,812 "," 95,208 "," 159,020 "," 14,249 "," 7,375 "," 21,624 ",13.69429891,100.5394291
บางขุนเทียน," 45,927 "," 199,562 "," 245,489 "," 10,802 "," 17,102 "," 27,904 ",13.64253103,100.4107752
บางบัวทอง," 17,227 "," 215,885 "," 233,112 "," 3,590 "," 21,029 "," 24,619 ",13.9354646,100.3835781
บางกะปิ," 147,102 "," 98,142 "," 245,244 "," 40,304 "," 7,419 "," 47,723 ",13.76272251,100.6455733
สมุทรปราการ," 47,960 "," 180,733 "," 228,693 "," 11,078 "," 11,582 "," 22,660 ",13.63334962,100.7550359
บางพลี," 65,504 "," 146,769 "," 212,273 "," 10,588 "," 10,905 "," 21,493 ",13.61152335,100.7322253
มีนบุรี," 43,277 "," 193,917 "," 237,194 "," 8,995 "," 14,396 "," 23,391 ",13.8155392,100.7354527
บางเขน," 130,604 "," 199,725 "," 330,329 "," 32,472 "," 19,494 "," 51,966 ",13.8642303,100.6146517
,,,,,,,,
