District,LAT,LONG,Risk
คลองสาน,13.7265,100.5025,22
คลองสามวา,13.8678,100.7398,6
คลองเตย,13.713333333333331,100.57866666666666,9
คันนายาว,13.821,100.677,6
จตุจักร,13.826,100.565,11
จอมทอง,13.69025,100.4655,6
ดอนเมือง,13.925,100.593,18
ดินแดง,13.778,100.567,9
ดุสิต,13.7728,100.5154,5
ตลิ่งชัน,13.7675,100.43983333333334,8
ทวีวัฒนา,13.770499999999998,100.369,4
ทุ่งครุ,13.6325,100.5035,7
ธนบุรี,13.722,100.4848,3
บางกอกน้อย,13.7634,100.4728,9
บางกอกใหญ่,13.738,100.4805,5
บางกะปิ,13.771,100.6475,9
บางขุนเทียน,13.58,100.4145,12
บางคอแหลม,13.698666666666668,100.506,11
บางซื่อ,13.82,100.529,8
บางนา,13.672,100.616,10
บางบอน,13.646,100.37,17
บางพลัด,13.787,100.49325,8
บางรัก,13.728,100.5232,23
บางเขน,13.867,100.628,16
บางแค,13.7105,100.3975,11
บึงกุ่ม,13.808,100.65,7
ปทุมวัน,13.7405,100.53175,13
ประเวศ,13.695333333333332,100.66966666666669,6
ป้อมปราบศัตรูพ่าย,13.7512,100.5114,7
พญาไท,13.782,100.545,5
พระนคร,13.756416666666668,100.49925,16
พระโขนง,13.692,100.626,12
ภาษีเจริญ,13.726714285714284,100.44557142857144,11
มีนบุรี,13.808,100.7485,4
ยานนาวา,13.6895,100.5385,8
ราชเทวี,13.756,100.53875,8
ราษฎร์บูรณะ,13.6725,100.5005,6
ลาดกระบัง,13.743,100.78916666666667,14
ลาดพร้าว,13.8255,100.606,6
วังทองหลาง,13.779,100.609,4
วัฒนา,13.732666666666669,100.57733333333331,2
สวนหลวง,13.726,100.628,5
สะพานสูง,13.761,100.688,11
สัมพันธวงศ์,13.738,100.50933333333334,7
สาทร,13.714,100.529,4
สายไหม,13.905,100.652,4
หนองจอก,13.85125,100.856125,20
หนองแขม,13.697,100.3545,13
หลักสี่,13.877,100.572,13
ห้วยขวาง,13.772333333333334,100.58066666666666,4
